Day,Altitude
131.00694444444446,396.3440541901896
132.0023148148148,396.3148704442056
133.00925925925927,396.28532428900525
134.00462962962962,396.25609491096344
135.0,396.22684279563276
136.00694444444446,396.19722736785934
137.0023148148148,396.1679294062424
138.00925925925927,396.1382675263723
139.00462962962962,396.10892357454355
140.0,396.07955670675636
141.00694444444446,396.04982500996164
142.0023148148148,396.0204119352018
143.00925925925927,395.99063342057633
144.00462962962962,395.9611739932094
145.0,395.9316914691012
146.00694444444446,395.901842586766
147.0023148148148,395.87231349073073
148.00925925925927,395.842417420486
149.00462962962962,395.8128416051548
150.0,395.78324251015016
151.00694444444446,395.7532755148737
152.0023148148148,395.72362947864735
153.00925925925927,395.6936149209803
154.00462962962962,395.66392179440146
155.0,395.63420520304237
156.00694444444446,395.6041191563625
157.0023148148148,395.5743552500615
158.00925925925927,395.5442212620331
159.00462962962962,395.5144098898908
160.0,395.48457486563365
161.00694444444446,395.4543688178658
162.0023148148148,395.4244861004865
163.00925925925927,395.3942317278674
164.00462962962962,395.364301164628
165.0,395.3343467596965
166.00694444444446,395.30401974974757
167.0023148148148,395.2740172689529
168.00925925925927,395.2436415460296
169.00462962962962,395.2135908347955
170.0,395.18351608999075
171.00694444444446,395.1530671451688
172.0023148148148,395.12294393713216
173.00925925925927,395.0924458865207
174.00462962962962,395.06227405880674
175.0,395.0320780033311
176.00694444444446,395.0015061391713
177.0023148148148,394.9712612283882
178.00925925925927,394.9406398608452
179.00462962962962,394.9103459364148
180.0,394.88002758765964
181.00694444444446,394.8493318077177
182.0023148148148,394.81896420681386
183.00925925925927,394.78821852105483
184.00462962962962,394.7578015077263
185.0,394.7273598711025
186.00694444444446,394.69653916677925
187.0023148148148,394.66604787630865
188.00925925925927,394.6351768587995
189.00462962962962,394.6046357522346
190.0,394.5740698209824
191.00694444444446,394.543123171309
192.0023148148148,394.51250717957225
193.00925925925927,394.481509804341
194.00462962962962,394.4508435878782
195.0,394.42015234283264
196.00694444444446,394.3890787142683
197.0023148148148,394.358336997089
198.00925925925927,394.32721222550515
199.00462962962962,394.2964198699184
200.0,394.26560227935204
201.00694444444446,394.2344006255921
202.0023148148148,394.20353214614187
203.00925925925927,394.1722789267227
204.00462962962962,394.141359390039
205.0,394.11041440940556
206.00694444444446,394.0790836711498
207.0023148148148,394.0480873797061
208.00925925925927,394.016704647894
209.00462962962962,393.98565687519124
210.0,393.9545834469618
211.00694444444446,393.9231225517141
212.0023148148148,393.8919973854646
213.00925925925927,393.86048406341115
214.00462962962962,393.8293069865676
215.0,393.7981040399792
216.00694444444446,393.7665119018173
217.0023148148148,393.7352567846505
218.00925925925927,393.7036117809992
219.00462962962962,393.67230431850254
220.0,393.6409707693318
221.00694444444446,393.6092462886926
222.0023148148148,393.57786013093965
223.00925925925927,393.5460823405972
224.00462962962962,393.51464339730796
225.0,393.48317814768944
226.00694444444446,393.45132021112556
227.0023148148148,393.4198019093731
228.00925925925927,393.3878902132688
229.00462962962962,393.35631868019516
230.0,393.32472061834017
231.00694444444446,393.2927280982984
232.0023148148148,393.2610765351346
233.00925925925927,393.22902979999685
234.00462962962962,393.1973245540438
235.0,393.1655925540291
236.00694444444446,393.1334643086074
237.0023148148148,393.1016783523802
238.00925925925927,393.0694954304937
239.00462962962962,393.03765533425195
240.0,393.0057882557856
241.00694444444446,392.9735231284732
242.0023148148148,392.94160163305884
243.00925925925927,392.9092813620046
244.00462962962962,392.8773052634718
245.0,392.845301951631
246.00694444444446,392.8128987710923
247.0023148148148,392.7808405756354
248.00925925925927,392.74838177805117
249.00462962962962,392.71626851041896
250.0,392.68412779539636
251.00694444444446,392.6515853751879
252.0023148148148,392.6193893038649
253.00925925925927,392.5867907871893
254.00462962962962,392.5545391685618
255.0,392.5222598654367
256.00694444444446,392.4895770037491
257.00231481481484,392.45724186549893
258.00925925925924,392.4245024216976
259.0046296296296,392.3921112548299
260.0,392.3596921632709
261.00694444444446,392.3268676426699
262.00231481481484,392.29439223092515
263.00925925925924,392.26151063623
264.0046296296296,392.2289787082793
265.0,392.19641861230696
266.00694444444446,392.163451199471
267.00231481481484,392.1308342919033
268.00925925925924,392.09780930654796
269.0046296296296,392.0651353887869
270.0,392.03243305647464
271.00694444444446,391.99932150188647
272.00231481481484,391.966561860105
273.00925925925924,391.9333922280138
274.0046296296296,391.9005750755565
275.0,391.8677292587701
276.00694444444446,391.8344722964596
277.00231481481484,391.80156866575965
278.00925925925924,391.76825311429985
279.0046296296296,391.7352914658105
280.0,391.70230089990514
281.00694444444446,391.6688972471561
282.00231481481484,391.6358483562106
283.00925925925924,391.60238559586276
